"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48124","deletedentitysearchTest","","2026-01-22","passed","2026-01-22","","deletedentitysearchTest.spec.js","",""
"","44300","exportreportdailymailTest","","2026-01-22","passed","2026-01-22","","exportreportdailymailTest.spec.js","",""
"","46280","exportbulkuploadedfileTest","","2026-01-22","passed","2026-01-22","","exportbulkuploadedfileTest.spec.js","",""
"","53740","livestreamingsearchTest","","2026-01-22","passed","2026-01-22","","livestreamingsearchTest.spec.js","",""
"","36956","exportreporthandgastureTest","","2026-01-22","passed","2026-01-22","","exportreporthandgastureTest.spec.js","",""
"","74332","globalsearhloginattemptsTest","","2026-01-22","passed","2026-01-22","","globalsearhloginattemptsTest.spec.js","",""
"","34779","editbatchschedulingTest","","2026-01-22","failed","2026-01-22","","editbatchschedulingTest.spec.js","",""
"","56106","nsfwsearchTest","","2026-01-22","passed","2026-01-22","","nsfwsearchTest.spec.js","",""
"","35199","exportreporttotaluniqueloginindisuccessTest","","2026-01-22","passed","2026-01-22","","exportreporttotaluniqueloginindisuccessTest.spec.js","",""
"","33886","exportreportexmptedemployeeTest","","2026-01-22","passed","2026-01-22","","exportreportexmptedemployeeTest.spec.js","",""
"","40854","filterchipondemandmediavideoTest","","2026-01-22","passed","2026-01-22","","filterchipondemandmediavideoTest.spec.js","",""
"","42631","exportbulkuploadsamplefileTest","","2026-01-22","passed","2026-01-22","","exportbulkuploadsamplefileTest.spec.js","",""
"","36099","exportreportmonthlymailTest","","2026-01-22","passed","2026-01-22","","exportreportdeactivatedemployeeTest.spec.js","",""
"","103410","filterchipretainentityTest","","2026-01-22","failed","2026-01-22","","filterchipretainentityTest.spec.js","",""
"","37803","filterchipondemandmedianoiseTest","","2026-01-22","passed","2026-01-22","","filterchipondemandmedianoiseTest.spec.js","",""
"","36682","exportreportsuspiciousimageTest","","2026-01-22","passed","2026-01-22","","exportreportsuspiciousimageTest.spec.js","",""
"","29611","bulkuploadsearchTest","","2026-01-22","passed","2026-01-22","","bulkuploadsearchTest.spec.js","",""
"","38791","exportreporttopfivefailedTest","","2026-01-22","passed","2026-01-22","","exportreporttopfivefailedTest.spec.js","",""
"","112863","utalitysettingsnoiserecordingTest","","2026-01-22","failed","2026-01-22","","utalitysettingsnoiserecordingTest.spec.js","",""
"","58278","batchschedulingmonthalymailTest","","2026-01-22","passed","2026-01-22","","batchschedulingmonthalymailTest.spec.js","",""
"","41689","filterchipmanageemolyeeTest","","2026-01-22","passed","2026-01-22","","filterchipmanageemolyeeTest.spec.js","",""
"","55136","screenshotcaptureTest","","2026-01-22","passed","2026-01-22","","screenshotcaptureTest.spec.js","",""
"","36665","exportreportwdsyncmanagerTest","","2026-01-22","passed","2026-01-22","","exportreportwdsyncmanagerTest.spec.js","",""
"","28505","exportreportglobalsearchseniormanagerTest","","2026-01-22","failed","2026-01-22","","exportreportglobalsearchseniormanagerTest.spec.js","",""
