"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 22 17:03:09 UTC 2026","Thu Jan 22 17:03:33 UTC 2026","24576","","exportreporttotalemployeeTest.spec.js","","","","exportreporttotalemployeeTest",""
"passed","Thu Jan 22 16:53:28 UTC 2026","Thu Jan 22 16:53:55 UTC 2026","27734","","emotiondetectionsearchTest.spec.js","","","","emotiondetectionsearchTest",""
"passed","Thu Jan 22 17:13:12 UTC 2026","Thu Jan 22 17:13:52 UTC 2026","40270","","generalsettingsothersTest.spec.js","","","","generalsettingsothersTest",""
"passed","Thu Jan 22 17:09:30 UTC 2026","Thu Jan 22 17:10:25 UTC 2026","55054","","filterchipnsfwactivityTest.spec.js","","","","filterchipnsfwactivityTest",""
"failed","Thu Jan 22 17:06:59 UTC 2026","Thu Jan 22 17:07:30 UTC 2026","30753","","filterchipdeleteentityTest.spec.js","","","","filterchipdeleteentityTest",""
"passed","Thu Jan 22 17:14:26 UTC 2026","Thu Jan 22 17:14:50 UTC 2026","23879","","globalsearchemotionTest.spec.js","","","","globalsearchemotionTest",""
"passed","Thu Jan 22 17:14:50 UTC 2026","Thu Jan 22 17:15:18 UTC 2026","27682","","globalsearchretainedentityTest.spec.js","","","","globalsearchretainedentityTest",""
"passed","Thu Jan 22 16:52:25 UTC 2026","Thu Jan 22 16:52:59 UTC 2026","34237","","emotiondetectionimageviewTest.spec.js","","","","emotiondetectionimageviewTest",""
"passed","Thu Jan 22 17:14:49 UTC 2026","Thu Jan 22 17:15:15 UTC 2026","25621","","globalsearchondemandmediaTest.spec.js","","","","globalsearchondemandmediaTest",""
"passed","Thu Jan 22 17:02:45 UTC 2026","Thu Jan 22 17:03:09 UTC 2026","23382","","exportreportsuspiciousvideoTest.spec.js","","","","exportreportsuspiciousvideoTest",""
"passed","Thu Jan 22 16:56:18 UTC 2026","Thu Jan 22 16:56:39 UTC 2026","21508","","exportreportcosolidatedretainvideoTest.spec.js","","","","exportreportcosolidatedretainvideoTest",""
"passed","Thu Jan 22 16:53:56 UTC 2026","Thu Jan 22 16:54:29 UTC 2026","32765","","excusedentitysearchTest.spec.js","","","","excusedntitysearchTest",""
"passed","Thu Jan 22 17:02:19 UTC 2026","Thu Jan 22 17:02:45 UTC 2026","26461","","exportreportshiftmanagerTest.spec.js","","","","exportreportshiftmanagerTest",""
"passed","Thu Jan 22 17:09:05 UTC 2026","Thu Jan 22 17:09:56 UTC 2026","51382","","filterchipnoisedetectionTest.spec.js","","","","filterchipnoisedetectionTest",""
"passed","Thu Jan 22 17:04:00 UTC 2026","Thu Jan 22 17:04:24 UTC 2026","24060","","exportreporttotaluniqueloginindisuccessTest.spec.js","","","","exportreporttotaluniqueloginindisuccessTest",""
"passed","Thu Jan 22 17:23:56 UTC 2026","Thu Jan 22 17:24:38 UTC 2026","42106","","utalitysettingsvideorecordingTest.spec.js","","","","utalitysettingsvideorecordingTest",""
"passed","Thu Jan 22 17:05:16 UTC 2026","Thu Jan 22 17:06:26 UTC 2026","70124","","filterchipbatchschedulingTest.spec.js","","","","filterchipbatchschedulingTest",""
"passed","Thu Jan 22 17:13:52 UTC 2026","Thu Jan 22 17:14:27 UTC 2026","34247","","globalsearchbyempidTest.spec.js","","","","globalsearchbyempidTest",""
"passed","Thu Jan 22 17:11:06 UTC 2026","Thu Jan 22 17:11:49 UTC 2026","43411","","filterchipsuspiciousactivityTest.spec.js","","","","filterchipsuspiciousactivityTest",""
"passed","Thu Jan 22 16:54:50 UTC 2026","Thu Jan 22 16:55:13 UTC 2026","22412","","exportbulkuploadedfileTest.spec.js","","","","exportbulkuploadedfileTest",""
"passed","Thu Jan 22 16:51:43 UTC 2026","Thu Jan 22 16:52:25 UTC 2026","41706","","editbatchschedulingTest.spec.js","","","","editbatchschedulingTest",""
"passed","Thu Jan 22 16:49:14 UTC 2026","Thu Jan 22 16:49:52 UTC 2026","37736","","batchschedulingsearchTest.spec.js","","","","batchschedulingsearchTest",""
"passed","Thu Jan 22 17:00:15 UTC 2026","Thu Jan 22 17:00:42 UTC 2026","26398","","exportreportlivestreamingTest.spec.js","","","","exportreportlivestreamingTest",""
"passed","Thu Jan 22 17:12:02 UTC 2026","Thu Jan 22 17:12:32 UTC 2026","29964","","filterchiptotaluniqueloginTest.spec.js","","","","filterchiptotaluniqueloginTest",""
"passed","Thu Jan 22 16:55:19 UTC 2026","Thu Jan 22 16:55:43 UTC 2026","23559","","exportreportbatchschedulingTest.spec.js","","","","exportreportbatchschedulingTest",""
"passed","Thu Jan 22 17:17:39 UTC 2026","Thu Jan 22 17:17:54 UTC 2026","15869","","livestreamingTest.spec.js","","","","livestreamingTest",""
"passed","Thu Jan 22 16:50:28 UTC 2026","Thu Jan 22 16:51:02 UTC 2026","33866","","deletebatchschedulingTest.spec.js","","","","deletebatchschedulingTest",""
"passed","Thu Jan 22 16:46:18 UTC 2026","Thu Jan 22 16:47:01 UTC 2026","43291","","activitylogsearchTest.spec.js","","","","activitylogsearchTest",""
"passed","Thu Jan 22 17:22:47 UTC 2026","Thu Jan 22 17:23:13 UTC 2026","26445","","useractivatedeactivateTest.spec.js","","","","useractivatedeactivateTest",""
"passed","Thu Jan 22 16:58:18 UTC 2026","Thu Jan 22 16:58:43 UTC 2026","25512","","exportreportglobalsearchrepotingmanagerTest.spec.js","","","","exportreportglobalsearchrepotingmanagerTest",""
"passed","Thu Jan 22 17:02:43 UTC 2026","Thu Jan 22 17:03:05 UTC 2026","22720","","exportreportsuspiciousimageTest.spec.js","","","","exportreportsuspiciousimageTest",""
"passed","Thu Jan 22 16:46:49 UTC 2026","Thu Jan 22 16:47:11 UTC 2026","21435","","activitylogsTest.spec.js","","","","activitylogsTest",""
"passed","Thu Jan 22 16:54:35 UTC 2026","Thu Jan 22 16:54:55 UTC 2026","20252","","exemptedemployeesearchTest.spec.js","","","","exemptedemployeesearchTest",""
"passed","Thu Jan 22 17:04:24 UTC 2026","Thu Jan 22 17:04:51 UTC 2026","27172","","exportreportwdsyncmanagerTest.spec.js","","","","exportreportwdsyncmanagerTest",""
"passed","Thu Jan 22 16:49:18 UTC 2026","Thu Jan 22 16:49:54 UTC 2026","36265","","batchschedulingshiftmanagerTest.spec.js","","","","batchschedulingshiftmanagerTest",""
"passed","Thu Jan 22 17:24:38 UTC 2026","Thu Jan 22 17:25:07 UTC 2026","28811","","videoondemandsearchTest.spec.js","","","","videoondemandsearchTest",""
"passed","Thu Jan 22 16:49:54 UTC 2026","Thu Jan 22 16:50:18 UTC 2026","24269","","bulkuploadsearchTest.spec.js","","","","bulkuploadsearchTest",""
"passed","Thu Jan 22 17:01:06 UTC 2026","Thu Jan 22 17:01:30 UTC 2026","23817","","exportreportnoisedeductionTest.spec.js","","","","exportreportnoisedeductionTest",""
"passed","Thu Jan 22 16:55:57 UTC 2026","Thu Jan 22 16:56:18 UTC 2026","21398","","exportreportcosolidatedretainimageTest.spec.js","","","","exportreportcosolidatedretainimageTest",""
"passed","Thu Jan 22 16:50:18 UTC 2026","Thu Jan 22 16:50:47 UTC 2026","28719","","bulkuploadTest.spec.js","","","","bulkuploadTest",""
"passed","Thu Jan 22 16:53:28 UTC 2026","Thu Jan 22 16:53:52 UTC 2026","24423","","employeeexmpresumetedTest.spec.js","","","","employeeexmpresumetedTest",""
"passed","Thu Jan 22 16:53:52 UTC 2026","Thu Jan 22 16:54:15 UTC 2026","23149","","employeeexmptedTest.spec.js","","","","employeeexmptedTest",""
"passed","Thu Jan 22 17:22:17 UTC 2026","Thu Jan 22 17:22:37 UTC 2026","20057","","totalemployeesearchTest.spec.js","","","","totalemployeesearchTest",""
"passed","Thu Jan 22 17:15:40 UTC 2026","Thu Jan 22 17:16:06 UTC 2026","25686","","globalsearcunsuspiciousimagecountTest.spec.js","","","","globalsearcunsuspiciousimagecountTest",""
"passed","Thu Jan 22 16:48:18 UTC 2026","Thu Jan 22 16:48:48 UTC 2026","29502","","batchschedulingdailymailTest.spec.js","","","","batchschedulingdailymailTest",""
"passed","Thu Jan 22 17:20:49 UTC 2026","Thu Jan 22 17:21:07 UTC 2026","18075","","releaseTest.spec.js","","","","releaseTest",""
"passed","Thu Jan 22 16:47:57 UTC 2026","Thu Jan 22 16:48:34 UTC 2026","36870","","batchschedulingbucketcleanerTest.spec.js","","","","batchschedulingbucketcleanerTest",""
"passed","Thu Jan 22 16:59:07 UTC 2026","Thu Jan 22 16:59:45 UTC 2026","37244","","exportreportindiexcusedvideoTest.spec.js","","","","exportreportindiexcusedvideoTest",""
"passed","Thu Jan 22 16:56:53 UTC 2026","Thu Jan 22 16:57:13 UTC 2026","19814","","exportreportdeleteentitiesimageconsolidatedTest.spec.js","","","","exportreportdeleteentitiesimageconsolidatedTest",""
"passed","Thu Jan 22 17:13:09 UTC 2026","Thu Jan 22 17:13:47 UTC 2026","37064","","generalsettingsimageTest.spec.js","","","","generalsettingsimageTest",""
"passed","Thu Jan 22 17:02:18 UTC 2026","Thu Jan 22 17:02:43 UTC 2026","24724","","exportreportscreenlockstatsTest.spec.js","","","","exportreportscreenlockstatsTest",""
"passed","Thu Jan 22 16:45:37 UTC 2026","Thu Jan 22 16:46:15 UTC 2026","37266","","activatedeactivatebatchschedulingTest.spec.js","","","","activatedeactivatebatchschedulingTest",""
"passed","Thu Jan 22 16:53:04 UTC 2026","Thu Jan 22 16:53:28 UTC 2026","24111","","employeeactivatedeactivateTest.spec.js","","","","employeeactivatedeactivateTest",""
"passed","Thu Jan 22 16:55:34 UTC 2026","Thu Jan 22 16:55:57 UTC 2026","22192","","exportreportconsolidatedexcusedimageTest.spec.js","","","","exportreportconsolidatedexcusedimageTest",""
"passed","Thu Jan 22 16:56:28 UTC 2026","Thu Jan 22 16:56:53 UTC 2026","25151","","exportreportdailymailTest.spec.js","","","","exportreportdailymailTest",""
"passed","Thu Jan 22 16:58:35 UTC 2026","Thu Jan 22 16:59:00 UTC 2026","24416","","exportreportglobalsearchseniormanagerTest.spec.js","","","","exportreportglobalsearchseniormanagerTest",""
"passed","Thu Jan 22 16:56:05 UTC 2026","Thu Jan 22 16:56:28 UTC 2026","22335","","exportreportcosolidatedretainnoiseTest.spec.js","","","","exportreportcosolidatedretainnoiseTest",""
"passed","Thu Jan 22 17:14:27 UTC 2026","Thu Jan 22 17:14:49 UTC 2026","22396","","globalsearchnoiseactivityTest.spec.js","","","","globalsearchnoiseactivityTest",""
"passed","Thu Jan 22 17:24:37 UTC 2026","Thu Jan 22 17:25:17 UTC 2026","40660","","utilitystatssearchTest.spec.js","","","","utilitystatssearchTest",""
"passed","Thu Jan 22 17:01:55 UTC 2026","Thu Jan 22 17:02:19 UTC 2026","23416","","exportreportondemandmediavideoTest.spec.js","","","","exportreportondemandmediavideoTest",""
"passed","Thu Jan 22 17:19:52 UTC 2026","Thu Jan 22 17:20:14 UTC 2026","21997","","manageuserTest.spec.js","","","","manageuserTest",""
"passed","Thu Jan 22 17:20:36 UTC 2026","Thu Jan 22 17:21:12 UTC 2026","35381","","ondemandmediaimageTest.spec.js","","","","ondemandmediaimageTest",""
"passed","Thu Jan 22 16:59:00 UTC 2026","Thu Jan 22 16:59:24 UTC 2026","23790","","exportreportindiexcusedimageTest.spec.js","","","","exportreportindiexcusedimageTest",""
"passed","Thu Jan 22 17:11:02 UTC 2026","Thu Jan 22 17:12:02 UTC 2026","60551","","filterchipretainentityTest.spec.js","","","","filterchipretainentityTest",""
"passed","Thu Jan 22 17:22:37 UTC 2026","Thu Jan 22 17:23:17 UTC 2026","39762","","totaluniqueloginsearchTest.spec.js","","","","totaluniqueloginsearchTest",""
"passed","Thu Jan 22 17:21:57 UTC 2026","Thu Jan 22 17:22:17 UTC 2026","20785","","suspiciousactivitiessearchTest.spec.js","","","","suspiciousactivitysearchTest",""
"passed","Thu Jan 22 17:21:07 UTC 2026","Thu Jan 22 17:21:29 UTC 2026","22345","","retainentitysearchTest.spec.js","","","","retainentitysearchTest",""
"passed","Thu Jan 22 17:25:07 UTC 2026","Thu Jan 22 17:25:28 UTC 2026","20614","","viewbatchschedulingTest.spec.js","","","","viewbatchschedulingTest",""
"passed","Thu Jan 22 17:19:42 UTC 2026","Thu Jan 22 17:20:15 UTC 2026","32570","","manageusersearchTest.spec.js","","","","manageusersearchTest",""
"passed","Thu Jan 22 17:10:27 UTC 2026","Thu Jan 22 17:11:05 UTC 2026","38185","","filterchipondemandmediavideoTest.spec.js","","","","filterchipondemandmediavideoTest",""
"passed","Thu Jan 22 17:21:12 UTC 2026","Thu Jan 22 17:21:36 UTC 2026","24125","","retainimagesTest.spec.js","","","","retainimagesTest",""
"passed","Thu Jan 22 16:59:24 UTC 2026","Thu Jan 22 16:59:45 UTC 2026","21076","","exportreportindretainimageTest.spec.js","","","","exportreportindretainimageTest",""
"passed","Thu Jan 22 17:04:01 UTC 2026","Thu Jan 22 17:04:25 UTC 2026","23976","","exportreporttotaluniqueloginTest.spec.js","","","","exportreporttotaluniqueloginTest",""
"passed","Thu Jan 22 17:07:33 UTC 2026","Thu Jan 22 17:07:59 UTC 2026","26089","","filterchipexmptedemployeeTest.spec.js","","","","filterchipexmptedemployeeTest",""
"passed","Thu Jan 22 17:16:06 UTC 2026","Thu Jan 22 17:16:29 UTC 2026","22988","","globalsearhloginattemptsTest.spec.js","","","","globalsearhloginattemptsTest",""
"passed","Thu Jan 22 16:57:57 UTC 2026","Thu Jan 22 16:58:18 UTC 2026","21072","","exportreportfdutilityTest.spec.js","","","","exportreportfdutilityTest",""
